assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
18,11,22,0.51063,2,37,14,Malkin,0,34,8471215,-2,32,0.8648600000000001,C,3,10,20232024,0,0,0.13592,L,103,Evgeni Malkin,PIT,1137.1081
17,10,20,0.5603100000000001,1,38,15,Karlsson,0,18,8476448,10,32,0.8421000000000001,C,4,11,20232024,1,1,0.16129000000000002,L,93,William Karlsson,VGK,1058.1052
19,7,16,0.5468200000000001,2,33,13,Larkin,0,33,8477946,-1,32,0.96969,C,4,14,20232024,2,2,0.11403,L,114,Dylan Larkin,DET,1197.6666
21,8,22,0.57403,0,34,10,Giroux,0,16,8473512,0,31,0.9117600000000001,R,2,8,20232024,0,1,0.11494000000000001,R,87,Claude Giroux,OTT,1203.7058
23,4,15,,1,39,8,Josi,1,25,8474600,-1,31,0.7948700000000001,D,4,15,20232024,0,1,0.06153000000000001,L,130,Roman Josi,NSH,1469.7179
15,10,24,0.4,2,36,16,Skinner,1,20,8475784,-3,31,0.86111,L,6,7,20232024,0,0,0.125,L,128,Jeff Skinner,BUF,1047.3333
23,6,19,0.26086000000000004,0,35,8,Fiala,0,36,8477942,-2,31,0.8857100000000001,L,2,12,20232024,0,0,0.08510000000000001,L,94,Kevin Fiala,LAK,1038.0857
24,6,19,0.42857000000000006,1,38,7,Tkachuk,0,38,8479314,1,31,0.8157800000000001,L,1,12,20232024,0,0,0.05263,L,133,Matthew Tkachuk,FLA,1136.2368
18,8,15,0.46875000000000006,4,37,13,Keller,0,22,8479343,-16,31,0.8378300000000001,R,5,16,20232024,0,0,0.12264000000000001,L,106,Clayton Keller,ARI,1156.3243
20,11,27,0.45,1,40,11,Hagel,1,37,8479542,-6,31,0.775,L,0,4,20232024,0,0,0.11827000000000001,L,93,Brandon Hagel,TBL,1132.0
20,8,21,,1,38,11,Dahlin,0,24,8480839,-14,31,0.8157800000000001,D,3,10,20232024,0,0,0.09649,L,114,Rasmus Dahlin,BUF,1498.1315
20,9,22,0.25,3,39,11,Raymond,2,14,8482078,-11,31,0.7948700000000001,L,2,9,20232024,0,0,0.14666,R,75,Lucas Raymond,DET,1057.3846
21,5,17,0.5,2,39,9,Nyquist,0,6,8474679,1,30,0.7692300000000001,C,3,12,20232024,1,1,0.11688000000000001,L,77,Gustav Nyquist,NSH,1029.8717
24,5,22,,1,37,6,Morrissey,0,28,8477504,22,30,0.81081,D,1,8,20232024,0,0,0.06185,L,97,Josh Morrissey,WPG,1457.0
16,12,23,0.43859000000000004,2,34,14,Batherson,0,28,8480208,-1,30,0.8823500000000001,R,2,7,20232024,0,0,0.15909,R,88,Drake Batherson,OTT,1081.2058
14,10,23,0.41176,3,38,15,Coleman,0,34,8476399,17,29,0.7631500000000001,C,1,1,20232024,4,5,0.15463000000000002,L,97,Blake Coleman,CGY,986.4736
25,3,19,,0,36,4,Rielly,0,0,8476853,2,29,0.8055500000000001,D,1,10,20232024,0,0,0.04651,L,86,Morgan Rielly,TOR,1474.0555
17,6,22,0.25641,4,35,12,Buchnevich,1,24,8477402,7,29,0.82857,L,4,4,20232024,2,3,0.125,L,96,Pavel Buchnevich,STL,1183.3428
18,7,17,0.33333,2,39,11,Bjorkstrand,0,2,8477416,0,29,0.74358,R,4,12,20232024,0,0,0.10679000000000001,R,103,Oliver Bjorkstrand,SEA,997.6153
16,10,25,0.5,1,37,13,Marchment,0,32,8478975,11,29,0.78378,L,3,4,20232024,0,0,0.18571000000000001,L,70,Mason Marchment,DAL,883.8648
27,0,20,,0,38,2,Hronek,0,20,8479425,21,29,0.7631500000000001,D,2,9,20232024,0,0,0.026310000000000004,R,76,Filip Hronek,VAN,1433.3157
17,12,27,0.41935000000000006,1,38,12,Farabee,0,12,8480797,10,29,0.7631500000000001,L,0,2,20232024,0,0,0.14117000000000002,L,85,Joel Farabee,PHI,923.3684
22,5,15,0.30000000000000004,0,28,6,Zuccarello,0,10,8475692,-3,28,1.0,R,1,13,20232024,0,0,0.08108000000000001,L,74,Mats Zuccarello,MIN,1092.1428
15,9,23,0.50887,1,37,13,Coyle,0,16,8475745,3,28,0.75675,C,4,4,20232024,0,1,0.19117,R,68,Charlie Coyle,BOS,1070.5135
15,13,25,0.54005,1,37,13,Seguin,0,10,8475794,5,28,0.75675,C,0,2,20232024,0,1,0.16883,R,77,Tyler Seguin,DAL,1006.7027
15,7,18,0.5728500000000001,0,38,13,Hertl,0,20,8476881,-21,28,0.73684,C,5,9,20232024,1,1,0.13541,L,96,Tomas Hertl,SJS,1257.8947
16,12,25,0.0,3,37,12,Ehlers,0,21,8477940,17,28,0.75675,L,0,3,20232024,0,0,0.11214,L,107,Nikolaj Ehlers,WPG,981.4054
11,14,18,0.33333,5,26,17,Connor,0,2,8478398,-4,28,1.07692,L,3,10,20232024,0,0,0.16666,L,102,Kyle Connor,WPG,1210.8846
16,9,22,0.48632000000000003,1,38,11,Kadri,1,23,8475172,-4,27,0.71052,C,2,5,20232024,0,0,0.08800000000000001,L,125,Nazem Kadri,CGY,1094.421
12,11,18,0.35135000000000005,1,36,15,Toffoli,0,6,8475726,-8,27,0.7500000000000001,R,4,9,20232024,0,0,0.14563,R,103,Tyler Toffoli,NJD,1040.3055
10,11,16,0.33333,1,39,17,Marchessault,0,20,8476539,-2,27,0.6923,R,6,11,20232024,0,0,0.12408000000000001,R,137,Jonathan Marchessault,VGK,1050.3333
21,2,12,,0,38,6,Matheson,0,32,8476875,-8,27,0.71052,D,4,15,20232024,0,0,0.06451000000000001,L,93,Mike Matheson,MTL,1500.2105
20,5,12,,1,38,7,Gostisbehere,0,10,8476906,-16,27,0.71052,D,2,15,20232024,0,0,0.10294,L,68,Shayne Gostisbehere,DET,1161.0526
9,10,16,0.44444000000000006,4,37,18,Vatrano,1,45,8478366,-8,27,0.72972,R,6,9,20232024,2,2,0.14173000000000002,L,127,Frank Vatrano,ANA,1091.8648
18,9,21,0.33333,0,37,9,Kyrou,0,8,8479385,-3,27,0.72972,C,0,6,20232024,0,0,0.07086,R,127,Jordan Kyrou,STL,1097.4324
23,3,17,,1,37,4,Heiskanen,0,10,8480036,-2,27,0.72972,D,1,10,20232024,0,0,0.051280000000000006,L,78,Miro Heiskanen,DAL,1503.3783
11,12,20,0.52903,0,34,16,Tkachuk,0,88,8480801,-5,27,0.7941100000000001,L,4,7,20232024,0,0,0.10322,L,155,Brady Tkachuk,OTT,1136.0882
16,7,15,0.44444000000000006,5,38,11,Caufield,3,12,8481540,-1,27,0.71052,R,4,12,20232024,0,0,0.08270000000000001,R,133,Cole Caufield,MTL,1148.7105
21,5,21,0.25,1,37,6,Maccelli,0,4,8481711,1,27,0.72972,L,1,5,20232024,0,1,0.08108000000000001,L,74,Matias Maccelli,ARI,1006.2972
14,5,16,0.43349000000000004,3,38,13,Jarvis,0,8,8482093,-3,27,0.71052,C,8,10,20232024,0,1,0.14942000000000003,R,87,Seth Jarvis,CAR,1133.0789
17,8,20,0.32258000000000003,2,35,10,Byfield,0,14,8482124,15,27,0.7714200000000001,R,2,7,20232024,0,0,0.14285,L,70,Quinton Byfield,LAK,923.3428
